Airline Name,count
air canada,6971
united airlines,3405
air transat,2521
lufthansa,1768
air canada rouge,1386
sunwing,1026
emirates,864
porter airlines,805
swiss,724
air france,675
american airlines,668
westjet,578
sa avianca,461
brussels airlines,454
air creebec,379
aegean airlines,373
qatar airways,365
air inuit,352
air new zealand,333
turkish airlines,332
tap air portugal,330
etihad airways,328
porter,321
pal airlines,317
delta air lines,292
aeromexico,285
lynx air,278
azul,265
sas,253
aer lingus,230
egyptair,221
latam airlines,218
flair airlines,175
ana,172
korean air,167
austrian,155
royal air maroc,152
eva air,129
starlink aviation,129
airsprint,127
canadian north,122
malaysia airlines,119
finnair,114
netjets aviation,111
empty,84
air algerie,82
alitalia,80
copa airlines,70
jetblue airways,69
royal jordanian,64
air liaison,63
flexjet,63
alaska airlines,58
cathay pacific,54
klm,52
private owner,50
flycana,50
air serbia,50
skyservice business aviation,50
air saint pierre,45
asiana airlines,45
tunisair,43
jazz,39
air china ltd,30
vistajet,20
bombardier,13
smartlynx airlines,13
jet edge,11
flyexclusive,10
virgin atlantic,10
sun country airlines,8
airnet,7
gol,7
castle aviation,7
gouvernement du quebec,6
chartright air,5
executive jet management,4
l.j. aviation,4
solairus aviation,4
sky airline,4
red wing aeroplane,4
novajet,4
tradewind aviation,3
air charter scotland,3
gama aviation,3
skycare,3
sunwest aviation,3
algonquin airlink,3
flightpath charter airways,3
fai rent-a-jet,3
republic airways,3
worldwide jet charter,2
panorama aviation,2
jetright,2
smartwings,2
taag,2
transport canada,2
hop-a-jet,2
ventura,2
haute aviation,2
chrono aviation,2
british airways,2
northeastern aviation corporation,2
my jet saver,1
volato,1
freight runners express,1
nxt jet,1
talon air,1
air tahiti nui,1
flightexec,1
aviation advisor,1
aitheras aviation group,1
swift air,1
mountain aviation,1
global air charters,1
corsair,1
sky quest,1
lot - polish airlines,1
royal air charter,1
xojet,1
fast air,1
ifl group,1
nolinor,1
max aviation,1
air nunavut,1
voyageur airways,1
allegiant air,1
priority air charter,1
reliant air,1
acass ireland,1
discover airlines,1
ultimate air shuttle,1
privaira,1
jet linx aviation,1
vista america,1
tag aviation malta,1
anderson air,1
pegasus elite aviation,1
jsc avion express,1
virgin australia,1
swiss private jet,1
air transport,1
skytaxi,1
delta private jets,1
redstar aviation,1
